	Link_Film	Name_Film	Start	Date	Description	Link_Image	Total_Comment	Positive_Comment
0	https://www.imdb.com//title/tt5197820/?ref_=adv_li_i	Van Helsing             	6.1	TV Series (2016– ) 	Vanessa Helsing, distant relative of famous vampire hunter Abraham Van Helsing, is resurrected only to find that vampires have taken over the world.	https://m.media-amazon.com/images/M/MV5BMTcyNjc0MzU2MF5BMl5BanBnXkFtZTgwMzUzNDc0NjM@._V1_UX182_CR0,0,182,268_AL_.jpg	1	1
1	https://www.imdb.com//title/tt4974778/?ref_=adv_li_i	Feral (2017) 	4.1	25 May 2018 (USA) 	Students fight to survive a weekend in the woods.	https://m.media-amazon.com/images/M/MV5BMjE4OTM0NzkzM15BMl5BanBnXkFtZTgwNDg5Mzk0NTM@._V1_UX182_CR0,0,182,268_AL_.jpg	1	1
2	https://www.imdb.com//title/tt4262980/?ref_=adv_li_i	Shin Gojira (2016) 	6.7	29 July 2016 (Japan) 	Japan is plunged into chaos upon the appearance of a giant monster.	https://m.media-amazon.com/images/M/MV5BODQ4ZmIzNWMtY2NiYi00MmM1LWFjMGQtMDE0Nzc1NzhjNjEyXkEyXkFqcGdeQXVyNDUwNzM4MzQ@._V1_UY268_CR4,0,182,268_AL_.jpg	1	1
3	https://www.imdb.com//title/tt5254868/?ref_=adv_li_i	The Thinning (2016) 	5.7	12 October 2016 (USA) 	"""The Thinning"" takes place in a future plagued by overcrowding where population control is dictated by a high-school aptitude test. When two students (Logan Paul and Peyton List) discover ...                     See full summary »"	https://m.media-amazon.com/images/M/MV5BMTgxMDM2NjAyNl5BMl5BanBnXkFtZTgwODA1MTUyMDI@._V1_UX182_CR0,0,182,268_AL_.jpg	1	1
4	https://www.imdb.com//title/tt4536768/?ref_=adv_li_i	Science Fiction Volume One: The Osiris Child (2016) 	5.6	18 May 2017 (Australia) 	Set in the future in a time of interplanetary colonization, an unlikely pair race against an impending global crisis and are confronted by the monsters that live inside us all.	https://m.media-amazon.com/images/M/MV5BNzY3NGI5MTItZDg5OC00MTJjLTgyZTgtN2Q3ZTA3NzRlNmI3XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UX182_CR0,0,182,268_AL_.jpg	1	1
5	https://www.imdb.com//title/tt5923962/?ref_=adv_li_i	Gantz: O (2016) 	7.2	14 October 2016 (Japan) 	After being brutally murdered in a subway station, a teen boy awakens to find himself resurrected by a strange computer named Gantz, and forced to fight a large force of invading aliens in Osaka.	https://m.media-amazon.com/images/M/MV5BZmRiNWVmZDctM2Q2Ny00NzMwLTkwYTItMmU0ZmE5MDUwNTBiL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY268_CR5,0,182,268_AL_.jpg	1	1
6	https://www.imdb.com//title/tt2993508/?ref_=adv_li_i	Wiedzmin 3: Dziki Gon (2015) 	9.8	Video game released 19 May 2015 	Geralt of Rivia, a monster hunter for hire, embarks on an epic journey to find his former apprentice, Ciri, before The Wild Hunt can capture her and bring about the destruction of the world.	https://m.media-amazon.com/images/M/MV5BYjY3ODFmNWUtNjhjNC00NTExLWIxYmEtYmQ0YTk5NjkzYTUwXkEyXkFqcGdeQXVyNzEyNjcwNTk@._V1_UX182_CR0,0,182,268_AL_.jpg	1	1
7	https://www.imdb.com//title/tt0775440/?ref_=adv_li_i	Cell (2016) 	4.3	10 June 2016 (USA) 	When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England.	https://m.media-amazon.com/images/M/MV5BMTEzNTQ2OTYxMjheQTJeQWpwZ15BbWU4MDc0OTkzNzgx._V1_UX182_CR0,0,182,268_AL_.jpg	1	1
8	https://www.imdb.com//title/tt5847454/?ref_=adv_li_i	Beruseruku             	7.0	TV Series (2016–2017) 	"Guts, ""The Black Swordsman"", is pursued by demons who are attracted to him, due to a demonic brand on his neck. His goal is to free himself, and his lover Casca, of this inescapable curse. ...                     See full summary »"	https://m.media-amazon.com/images/M/MV5BZDE0YzhiMmMtMTZhYi00ZTg0LWIxMjQtMTllYTVlOGUyNjkwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg	1	1
9	https://www.imdb.com//title/tt5189828/?ref_=adv_li_i	Mohawk (2017) 	4.5	2 March 2018 (USA) 	Late in the War of 1812, a young Mohawk woman and her two lovers battle a squad of American soldiers hell-bent on revenge.	https://m.media-amazon.com/images/M/MV5BNDliZTc3OGEtZjgwNy00OTUwLTkxMjMtMzE1ZWE2Yjg2MzI5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg	1	1
