,LinkFilm,NameFilm,Star,Date,Description,LinkImage,TotalComment,PositiveComment,ScoreComment,AVGStar
0,https://www.imdb.com//title/tt4154664/,Captain Marvel (2019) ,,8 March 2019 (USA) ,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,"https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_UX182_CR0,0,182,268_AL_.jpg",0,0,-1,0
1,https://www.imdb.com//title/tt1477834/,Aquaman: De Vuong Atlantis (2018) ,8.0,13 December 2018 (Vietnam) ,"Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and be a hero to the world.","https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_UX182_CR0,0,182,268_AL_.jpg",422,317,0.75,8.409952606635072
2,https://www.imdb.com//title/tt6343314/,Creed II (2018) ,7.8,21 November 2018 (USA) ,"Under the tutelage of Rocky Balboa, heavyweight contender Adonis Creed faces off against Viktor Drago, son of Ivan Drago.","https://m.media-amazon.com/images/M/MV5BMTcxMjUwNjQ5N15BMl5BanBnXkFtZTgwNjk4MzI4NjM@._V1_UX182_CR0,0,182,268_AL_.jpg",302,209,0.69,7.688741721854305
3,https://www.imdb.com//title/tt2306299/,Huyen Thoai Vikings             ,8.6,TV Series (2013– ) ,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","https://m.media-amazon.com/images/M/MV5BNDYyNzk1NzYwOF5BMl5BanBnXkFtZTgwMTQ0Nzc4MzI@._V1_UY268_CR8,0,182,268_AL_.jpg",387,225,0.58,6.917312661498708
4,https://www.imdb.com//title/tt4154796/,Avengers: Endgame (2019) ,,26 April 2019 (USA) ,"In the aftermath of Thanos wiping out half of all life in the universe, the remaining Avengers must do what's necessary to undo the Mad Titan's deed.","https://m.media-amazon.com/images/M/MV5BNGZiMzBkZjMtNjE3Mi00MWNlLWIyYjItYTk3MjY0Yjg5ODZkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",0,0,-1,0
5,https://www.imdb.com//title/tt1727824/,Bohemian Rhapsody: Huyen thoai ngoi sao nhac rock (2018) ,8.3,24 October 2018 (UK) ,A chronicle of the years leading up to Queen's legendary appearance at the Live Aid (1985) concert.,"https://m.media-amazon.com/images/M/MV5BNDg2NjIxMDUyNF5BMl5BanBnXkFtZTgwMzEzNTE1NTM@._V1_UX182_CR0,0,182,268_AL_.jpg",1929,1645,0.85,8.92016588906169
6,https://www.imdb.com//title/tt0944947/,Tro Choi Vuong Quyen             ,9.5,TV Series (2011– ) ,"Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.","https://m.media-amazon.com/images/M/MV5BMjE3NTQ1NDg1Ml5BMl5BanBnXkFtZTgwNzY2NDA0MjI@._V1_UX182_CR0,0,182,268_AL_.jpg",1246,816,0.65,7.790529695024077
7,https://www.imdb.com//title/tt1270797/,Venom (2018) ,6.9,5 October 2018 (USA) ,"When Eddie Brock acquires the powers of a symbiote, he will have to release his alter-ego ""Venom"" to save his life.","https://m.media-amazon.com/images/M/MV5BNzAwNzUzNjY4MV5BMl5BanBnXkFtZTgwMTQ5MzM0NjM@._V1_UX182_CR0,0,182,268_AL_.jpg",2773,1403,0.51,7.5852866931121525
8,https://www.imdb.com//title/tt4123430/,Sinh Vat Huyen Bi: Toi Ac Cua Grindelwald (2018) ,6.9,16 November 2018 (Vietnam) ,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.","https://m.media-amazon.com/images/M/MV5BZjFiMGUzMTAtNDAwMC00ZjRhLTk0OTUtMmJiMzM5ZmVjODQxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",980,444,0.45,6.153061224489796
9,https://www.imdb.com//title/tt1571234/,Co May Tu Than (2018) ,6.5,7 December 2018 (Vietnam) ,"In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.","https://m.media-amazon.com/images/M/MV5BNzY1MDA2OTQ0N15BMl5BanBnXkFtZTgwMTkzNjU2NTM@._V1_UX182_CR0,0,182,268_AL_.jpg",204,95,0.47,6.421568627450981
